,Year,Total Revenue,Net Income,Total Assets,Total Liabilities,Cash Flow from Operating Activities,Company,Revenue Growth (%),Net Income Growth (%),Assets Growth (%),Liabilities Growth (%),Cash Flow from Operations Growth(%)
0,2024,245122,88136,512163,243686,118548,Microsoft,0.0,0.0,0.0,0.0,0.0
1,2023,211915,72361,411976,205753,87582,Microsoft,-13.547131632411613,-17.898475083961152,-19.56154583599362,-15.566343573286934,-26.121064885109824
2,2022,198270,72738,364840,198298,89035,Microsoft,-6.438902390109247,0.5209988806124777,-11.441443190865485,-3.623276452834223,1.6590166929277617
3,2021,168088,61271,333779,191791,76740,Microsoft,-15.222676148686132,-15.764799692045429,-8.513595000548191,-3.28142492612129,-13.809176166676028
4,2024,97690,7091,106618,43009,14923,Tesla,0.0,0.0,0.0,0.0,0.0
5,2023,96773,14974,106618,43009,13256,Tesla,-0.9386835909509728,111.16908757580033,0.0,0.0,-11.170676137505865
6,2022,81462,12556,82338,36440,14724,Tesla,-15.821561799262195,-16.14798984907172,-22.772890131122324,-15.273547397056431,11.07423053711527
7,2021,53821,5519,62131,30548,11497,Tesla,-33.931158085978744,-56.04491876393756,-24.54152396220457,-16.16904500548847,-21.916598750339578
8,2024,391035,93736,364980,308030,118500,Apple,0.0,0.0,0.0,0.0,0.0
9,2023,383285,96995,352583,290437,110543,Apple,-1.9819197770020613,3.4767858666894247,-3.3966244725738393,-5.711456676297766,-6.714767932489451
10,2022,394328,99803,352755,302083,122151,Apple,2.8811458836114134,2.894994587349853,0.048782839785244114,4.009819685508398,10.500891055969163
11,2021,365817,94680,351002,287912,104038,Apple,-7.230275303807998,-5.133112231095261,-0.49694547206985407,-4.691094831552922,-14.82836816726838
